loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
20050,20050,20000.0, 60 months,10.64,432.35,B,B2,Fully Paid
15000,15000,15000.0, 60 months,15.59,361.52,C,C5,Fully Paid
21000,21000,21000.0, 36 months,11.99,697.41,C,C1,Fully Paid
6800,6800,6800.0, 36 months,5.32,204.79,A,A1,Fully Paid
4000,4000,4000.0, 36 months,17.09,142.8,D,D1,Fully Paid
9450,9450,9450.0, 36 months,13.53,320.83,B,B5,Fully Paid
4200,4200,4200.0, 36 months,11.49,138.48,B,B5,Fully Paid
28000,28000,28000.0, 36 months,18.84,1024.11,E,E2,Fully Paid
15325,15325,15325.0, 36 months,6.99,473.13,A,A3,Fully Paid
20400,20400,20400.0, 60 months,9.44,427.85,B,B1,Fully Paid
3975,3975,3975.0, 36 months,21.18,150.13,E,E3,Fully Paid
35000,35000,35000.0, 36 months,16.24,1234.65,C,C5,Fully Paid
24000,24000,24000.0, 36 months,14.99,831.86,C,C4,Fully Paid
10000,10000,10000.0, 36 months,7.9,312.91,A,A4,Fully Paid
40000,40000,40000.0, 36 months,11.55,1320.0,B,B4,Fully Paid
20000,20000,20000.0, 36 months,6.72,614.99,A,A3,Fully Paid
30000,30000,30000.0, 60 months,18.99,778.06,E,E1,Fully Paid
10000,10000,9975.0, 36 months,11.49,329.72,B,B5,Fully Paid
19850,19850,19850.0, 60 months,11.99,441.46,C,C1,Fully Paid
15000,15000,15000.0, 36 months,6.24,457.97,A,A2,Fully Paid
10000,10000,10000.0, 36 months,16.99,356.48,D,D1,Fully Paid
11000,11000,11000.0, 36 months,9.93,354.58,B,B2,Fully Paid
12000,12000,12000.0, 36 months,9.67,385.35,B,B1,Fully Paid
16025,16025,16025.0, 60 months,15.05,381.66,C,C4,Fully Paid
15000,15000,15000.0, 36 months,13.66,510.2,C,C3,Fully Paid
10000,10000,10000.0, 36 months,10.9,326.92,B,B4,Fully Paid
6000,6000,6000.0, 36 months,10.49,194.99,B,B3,Fully Paid
28000,28000,28000.0, 36 months,7.69,873.42,A,A4,Fully Paid
8400,8400,8400.0, 36 months,9.17,267.79,B,B2,Fully Paid
6000,6000,6000.0, 36 months,6.89,184.97,A,A3,Fully Paid
10400,10400,10400.0, 36 months,6.03,316.53,A,A1,Fully Paid
20000,20000,20000.0, 36 months,7.9,625.81,A,A4,Fully Paid
15000,15000,15000.0, 36 months,10.75,489.31,B,B4,Fully Paid
15000,15000,15000.0, 36 months,5.32,451.73,A,A1,Fully Paid
2000,2000,2000.0, 36 months,17.27,71.58,C,C5,Fully Paid
10400,10400,10400.0, 60 months,12.79,235.52,C,C1,Fully Paid
22350,22350,22350.0, 60 months,12.69,505.0,C,C2,Fully Paid
4500,4500,4500.0, 36 months,15.61,157.35,C,C5,Fully Paid
6200,6200,6150.0, 36 months,13.65,210.85,C,C1,Fully Paid
5950,5950,5950.0, 36 months,9.67,191.07,B,B1,Fully Paid
12000,12000,12000.0, 36 months,11.53,395.89,B,B5,Fully Paid
13000,13000,12925.0, 36 months,11.99,431.73,B,B3,Fully Paid
15000,15000,15000.0, 36 months,19.52,553.8,E,E2,Fully Paid
14400,14400,14400.0, 60 months,15.59,347.06,C,C5,Fully Paid
12000,12000,12000.0, 60 months,14.99,285.42,C,C4,Fully Paid
16000,16000,16000.0, 60 months,12.29,358.27,C,C1,Fully Paid
28000,28000,28000.0, 60 months,20.2,744.95,D,D5,Fully Paid
2000,2000,2000.0, 36 months,11.99,66.42,B,B5,Fully Paid
1000,1000,1000.0, 36 months,14.99,34.67,C,C5,Fully Paid
15500,15500,15500.0, 36 months,13.33,524.73,C,C3,Fully Paid
21000,21000,21000.0, 36 months,12.12,698.71,B,B3,Fully Paid
40000,40000,40000.0, 36 months,10.42,1298.59,B,B3,Fully Paid
10000,10000,10000.0, 36 months,8.24,314.48,B,B1,Fully Paid
20000,20000,19950.0, 36 months,6.03,608.72,A,A1,Fully Paid
12000,12000,12000.0, 36 months,6.92,370.09,A,A4,Fully Paid
12000,12000,12000.0, 36 months,13.33,406.24,C,C3,Fully Paid
18000,18000,18000.0, 36 months,7.12,556.78,A,A3,Fully Paid
14600,14600,14600.0, 60 months,21.15,396.22,E,E2,Fully Paid
11000,11000,11000.0, 36 months,6.24,335.84,A,A2,Fully Paid
24000,24000,24000.0, 36 months,12.61,804.16,C,C1,Fully Paid
16000,16000,16000.0, 36 months,7.24,495.8,A,A3,Fully Paid
8000,8000,8000.0, 36 months,19.03,293.37,D,D3,Fully Paid
5000,5000,5000.0, 60 months,21.0,135.27,E,E2,Fully Paid
15000,15000,15000.0, 60 months,12.79,339.69,C,C1,Fully Paid
6000,6000,6000.0, 36 months,13.53,203.7,B,B5,Fully Paid
25000,25000,25000.0, 36 months,14.49,860.41,C,C4,Fully Paid
11000,11000,11000.0, 36 months,11.39,362.17,B,B3,Fully Paid
34000,34000,34000.0, 36 months,8.18,1068.27,B,B1,Fully Paid
6000,6000,6000.0, 36 months,9.49,192.17,B,B2,Fully Paid
12000,12000,12000.0, 36 months,9.17,382.55,B,B2,Fully Paid
12000,12000,12000.0, 36 months,14.99,415.93,C,C5,Fully Paid
7300,7300,7300.0, 36 months,11.53,240.83,B,B5,Fully Paid
35000,35000,35000.0, 36 months,13.99,1196.05,C,C4,Fully Paid
20000,20000,20000.0, 36 months,7.26,619.93,A,A4,Fully Paid
18000,18000,18000.0, 36 months,12.42,601.48,B,B4,Fully Paid
9600,9600,9600.0, 36 months,8.9,304.84,A,A5,Fully Paid
10000,10000,10000.0, 36 months,14.65,344.95,C,C5,Fully Paid
15850,15850,15850.0, 36 months,11.48,522.55,B,B2,Fully Paid
4000,4000,4000.0, 36 months,10.99,130.94,B,B4,Fully Paid
6400,6400,6400.0, 36 months,10.42,207.78,B,B3,Fully Paid
15000,15000,15000.0, 36 months,15.8,525.88,C,C3,Fully Paid
24000,24000,24000.0, 36 months,14.65,827.87,C,C5,Fully Paid
10000,10000,10000.0, 36 months,16.29,353.01,D,D1,Fully Paid
25000,25000,25000.0, 60 months,14.99,594.62,C,C5,Fully Paid
24000,24000,24000.0, 60 months,9.44,503.35,B,B1,Fully Paid
5000,5000,5000.0, 36 months,14.33,171.7,C,C1,Fully Paid
9500,9500,9500.0, 36 months,13.33,321.61,C,C3,Fully Paid
12975,12975,12975.0, 36 months,13.99,443.4,C,C3,Fully Paid
6000,6000,6000.0, 36 months,7.59,186.89,A,A3,Fully Paid
5000,5000,5000.0, 36 months,11.49,164.86,B,B5,Fully Paid
1500,1500,1500.0, 36 months,23.43,58.41,F,F1,Fully Paid
22000,22000,22000.0, 36 months,5.32,662.53,A,A1,Fully Paid
18000,18000,18000.0, 36 months,6.03,547.84,A,A1,Fully Paid
20000,20000,20000.0, 60 months,15.59,482.02,C,C5,Fully Paid
8450,8450,8450.0, 36 months,18.25,306.55,E,E1,Fully Paid
7200,7200,7200.0, 36 months,9.99,232.29,B,B3,Fully Paid
4000,4000,4000.0, 36 months,13.49,135.73,C,C2,Fully Paid
9000,9000,9000.0, 36 months,5.32,271.04,A,A1,Fully Paid
6000,6000,6000.0, 36 months,6.24,183.19,A,A2,Fully Paid
35000,35000,35000.0, 36 months,7.26,1084.87,A,A4,Fully Paid
5000,5000,5000.0, 36 months,8.67,158.24,B,B1,Fully Paid
13250,13250,13250.0, 36 months,11.47,436.75,B,B5,Fully Paid
15000,15000,15000.0, 60 months,13.99,348.95,C,C4,Fully Paid
3000,3000,3000.0, 36 months,7.9,93.88,A,A4,Fully Paid
3000,3000,3000.0, 36 months,12.61,100.52,C,C1,Fully Paid
4300,4300,4300.0, 36 months,11.53,141.86,B,B5,Fully Paid
10750,10750,10750.0, 36 months,8.24,338.06,B,B1,Fully Paid
5500,5500,5500.0, 36 months,6.03,167.4,A,A1,Fully Paid
13900,13900,13900.0, 36 months,21.49,527.19,D,D5,Fully Paid
9750,9750,9750.0, 36 months,10.99,319.16,B,B2,Fully Paid
10000,10000,10000.0, 36 months,11.99,332.1,C,C1,Fully Paid
5750,5750,5750.0, 36 months,13.05,193.88,B,B5,Fully Paid
9600,9600,9600.0, 36 months,9.76,308.69,B,B3,Fully Paid
16000,16000,15950.0, 36 months,19.05,586.91,D,D4,Fully Paid
8000,8000,8000.0, 36 months,12.69,268.36,C,C2,Fully Paid
8000,8000,8000.0, 36 months,12.12,266.18,B,B3,Fully Paid
31000,31000,31000.0, 36 months,10.99,1014.76,B,B4,Fully Paid
6000,6000,5975.0, 36 months,6.99,185.24,A,A3,Fully Paid
23800,23800,23800.0, 36 months,13.99,813.32,C,C3,Fully Paid
20000,20000,20000.0, 36 months,10.75,652.41,B,B4,Fully Paid
10000,10000,10000.0, 36 months,8.39,315.17,B,B1,Fully Paid
8000,8000,8000.0, 36 months,6.99,246.99,A,A2,Fully Paid
10000,10000,10000.0, 36 months,12.59,334.97,C,C2,Fully Paid
19200,19200,19200.0, 36 months,12.29,640.38,C,C1,Fully Paid
23775,23775,23775.0, 60 months,15.61,573.25,D,D1,Fully Paid
5000,5000,5000.0, 36 months,11.47,164.81,B,B5,Fully Paid
19200,19200,19200.0, 36 months,12.99,646.84,C,C1,Fully Paid
12000,12000,12000.0, 36 months,13.11,404.97,B,B4,Fully Paid
32100,32100,32100.0, 60 months,15.31,768.9,C,C4,Fully Paid
